역,이름,주소,상세보기,메뉴
동대문역사문화공원,킨자,서울 중구 마른내로 167-1 2층,https://place.map.kakao.com/1238266419,메뉴 정보 없음
동대문역사문화공원,투썸플레이스 동대문역사문화공원역점,서울 중구 마른내로 159-4 1층 101호,https://place.map.kakao.com/901958338,메뉴 정보 없음
동대문역사문화공원,더벤티 을지로6가점,서울 중구 을지로 252-2 1층,https://place.map.kakao.com/785554542,메뉴 정보 없음
동대문역사문화공원,플레김밥&카페,서울 중구 퇴계로 331 1층,https://place.map.kakao.com/1723758125,메뉴탭 없음
동대문역사문화공원,우리집칼국수,서울 중구 마른내로 155-1 2층,https://place.map.kakao.com/15310211,메뉴탭 없음
동대문역사문화공원,찰리,서울 중구 퇴계로53길 10 2층,https://place.map.kakao.com/24727999,메뉴 정보 없음
동대문역사문화공원,삼거리식당,서울 중구 마른내로 145-1,https://place.map.kakao.com/13072958,메뉴탭 없음
동대문역사문화공원,진짜해장국 장충점,서울 중구 퇴계로56길 50,https://place.map.kakao.com/26363054,메뉴탭 없음
동대문역사문화공원,적수방,서울 중구 동호로24길 7-6 불광산사 지하2층,https://place.map.kakao.com/12394393,메뉴탭 없음
동대문역사문화공원,맘스피자 동대문DDP점,서울 중구 을지로 281 DDP마켓 지하2층 C2호,https://place.map.kakao.com/1853719461,메뉴 정보 없음
동대문역사문화공원,고기명가,서울 중구 을지로38길 8,https://place.map.kakao.com/1440675441,메뉴탭 없음
동대문역사문화공원,앰배서더서울풀만 더킹스,서울 중구 동호로 287 1층,https://place.map.kakao.com/8197726,메뉴탭 없음
동대문역사문화공원,파리바게뜨 동대문역사점,서울 중구 마른내로 165,https://place.map.kakao.com/14967710,메뉴 정보 없음
동대문역사문화공원,메가MGC커피 광희동사거리점,서울 중구 마른내로 167 1층 101호,https://place.map.kakao.com/1218625798,메뉴 정보 없음
동대문역사문화공원,계진상,서울 중구 을지로6가 17-2 지하2층,https://place.map.kakao.com/304203989,메뉴 정보 없음
동대문역사문화공원,노보텔앰배서더 서울동대문호텔&레지던스 더소셜21,서울 중구 을지로 238 21층,https://place.map.kakao.com/1432275923,메뉴탭 없음
동대문역사문화공원,어메이징그레이스,서울 중구 청구로 140,https://place.map.kakao.com/2017602246,메뉴탭 없음
동대문역사문화공원,호프마당,서울 중구 을지로42길 30,https://place.map.kakao.com/12275944,메뉴 정보 없음
동대문역사문화공원,봉추찜닭 동대문굿모닝시티점,서울 중구 장충단로 247 굿모닝시티쇼핑몰 9층,https://place.map.kakao.com/7906777,메뉴 정보 없음
동대문역사문화공원,울릉도참치,서울 중구 을지로44길 32,https://place.map.kakao.com/27009050,메뉴 정보 없음
동대문역사문화공원,천미식당,서울 중구 퇴계로56가길 2-2 1층,https://place.map.kakao.com/755774036,메뉴 정보 없음
동대문역사문화공원,롯쇼나,서울 중구 마른내로 159-23,https://place.map.kakao.com/1532672006,메뉴탭 없음
동대문역사문화공원,푸드스토리705,서울 중구 장충단로7길 9-1,https://place.map.kakao.com/21530466,메뉴탭 없음
동대문역사문화공원,용사부,서울 중구 퇴계로56길 42,https://place.map.kakao.com/296016282,메뉴탭 없음
동대문역사문화공원,홍탁목포집,서울 중구 청구로 86-1,https://place.map.kakao.com/1465870253,메뉴탭 없음
동대문역사문화공원,북촌손만두 동대문역사문화공원점,서울 중구 장충단로 249-10 1층,https://place.map.kakao.com/16038077,메뉴 정보 없음
