역,이름,주소,상세보기,메뉴
개화,원조부안집 개화산역점,"서울 강서구 양천로 28 벽산에어트리움 본관 B동 1층 107,108호",https://place.map.kakao.com/1269303026,"육즙목살 (15,000원); 쫀득살 (15,000원); 원조한판 (48,000원); 쫄깃깝데기 (9,000원); 부안생갈비 (15,000원); 항정꽃살 (15,000원); 숙성삼겹 (15,000원); 부안오득살 (11,000원); 살얼음물쫄면 (6,000원); 파절이쫄면 (5,000원); 10분밥 1인 (3,500원); 부안된장술밥 (8,000원); 대파라면 (4,000원); 짜파게티 (4,000원); 부안반판 (29,000원)"
개화,마라연구소 김포공항점,서울 강서구 양천로 27 1층,https://place.map.kakao.com/1373009162,"연구소 마라탕 (10,900원); 마라샹궈 (16,900원); [겉바속촉] 꿔바러우 (10,900원); 꽃빵튀김(4P) (4,000원); 유툐우(2P) (2,500원); 미니전 (2,000원); 공기밥 추가 (1,000원); 콜라(355mL) (2,000원); 사이다(355mL) (2,000원); 환타_오렌지(355mL) (2,000원); 코카콜라 제로(355mL) (2,000원); 삥훙차(490mL) (3,000원); 차파이(복숭아맛)(500mL) (3,000원)"
개화,대원각중화요리,서울 강서구 양천로 28,https://place.map.kakao.com/16934401,"짜장면 (6,000원); 짬뽕 (7,500원); 우동 (7,500원); 울면 (7,500원); 간짜장 (7,500원); 삼선짜장 (10,000원); 유니짜장 (2인이상) (11,000원); 쟁반짜장 (1인) (9,000원); 홍합짬뽕 (11,000원); 삼선짬뽕 (11,000원); 삼선우동 (11,000원); 삼선울면 (11,000원); 기스면 (11,000원); 군만두 (6,000원); 물만두 (6,000원); 볶음밥 (8,000원); 짜장밥 (8,000원); 짬뽕밥 (8,000원); 삼선짬뽕밥 (12,000원); 잡채밥 (8,500원); 미파두부밥 (10,000원); 송이덮밥 (11,000원); 고추잡채밥 (11,000원); 류산슬밥 (14,000원); 잡탕밥 (14,000원); 오므라이스 (8,500원); 김치덮밥 (8,500원); 삼선볶음밥 (11,000원); 오징어덮밥 (11,000원); 짬짜면 (8,500원); 볶짜면 (9,500원); 탕짜면 (11,000원); 탕수육 (소) (18,000원); 계란탕 (19,000원); 잡채 (19,000원); 덴뿌라 (21,000원); 마파두부 (19,000원); 깐풍기(중) (31,000원); 라조기(중) (31,000원); 난자완스(중) (31,000원); 고추잡채(중) (31,000원); 팔보채(중) (36,000원); 잡탕(중) (36,000원); 류산슬(중) (36,000원); 새우튀김(중) (36,000원); 깐쇼새우(중) (41,000원); 양장피 (소) (28,000원)"
개화,만민브런치,서울 강서구 양천로 23,https://place.map.kakao.com/2027760487,"김밥 (4,000원); 토스트 (4,000원)"
개화,칼스토랑 방화점,서울 강서구 양천로 28 벽산에어트리움 지층 b106호,https://place.map.kakao.com/1695426699,"고기칼국수 (9,000원); 장칼국수 (9,000원); 냉칼국수 (9,000원); 콩칼국수 (9,000원); 수육국밥 (9,000원); 찐만두 (6,000원)"
개화,유어무드,서울 강서구 양천로 36 1층,https://place.map.kakao.com/1492130364,"유어무드크림라떼 (5,300원); 바스크치즈케이크 (5,000원)"
개화,마산아구찜,서울 강서구 금낭화로 135 3층,https://place.map.kakao.com/16326186,"아구찜(소) (42,000원); 낙지볶음(소) (42,000원); 애구탕(1인분) (10,000원); 해물찜(소) (50,000원); 꽃게탕(소) (50,000원)"
개화,배스킨라빈스 개화산역점,서울 강서구 양천로 31 1층,https://place.map.kakao.com/458350976,"쿼터 (18,500원); 옹기종기팩 (31,200원); 파인트 (9,800원); 패밀리 (26,000원); 네모 블록 헬로키티 (32,000원); 진정한 티라미수 케이크 (30,000원); 나눠먹는 와츄원 (33,000원); NEW 블록팩 (초콜릿) (4,000원); NEW 블록팩 （슈팅스타） (4,000원); 아메리카노（ICED） (3,200원); 하프갤론 (31,500원); 더 듬뿍 설향딸기 빙수 (14,000원); 더 듬뿍 팥빙수 (14,000원); 아빠왔다팩 (15,600원); 핸드팩세트（파인트 4EA） (39,200원); 버라이어티팩 (23,400원); 아이스 바움쿠헨 카페오레 (5,000원); 버터 쿠키 샌드 바닐라 카라멜 (4,800원); 버터 쿠키 샌드 애플 시나몬 (4,800원); 그린티 킷캣 초콜릿 스틱바 (3,700원); 그린티 킷캣 선데 (4,000원); 아이스 청크쿠키 샌드 밀크 (5,000원); 아이스 마카롱 크림브륄레 (4,800원); 컨디션 스틱바 그린애플 (1,900원); 아이스 쿠키 샌드 바닐라 (4,300원); 아이스 후레쉬베리 (4,300원); 아이스 모찌 밤 티라미수 (3,800원); 쿠로미 스틱바 블랙소르베 제로 (3,100원); 마이멜로디 스틱바 딸기 요거트 (3,100원); 아이스 모찌 슈크림 (3,800원)"
개화,마장동고기집 서울방화점,서울 강서구 양천로 82-1,https://place.map.kakao.com/876845389,"작은돼지 한마리 (600g) (29,000원); A 양념갈비살 큰소 한마리 (59,000원); B 우대갈비 큰소 한마리 (59,000원); 작은소 한마리 ( 500g) (39,000원); 큰돼지 한마리 (900g) (39,000원); 양념돼지갈비 셋트 (700g) (29,000원); 꽃갈비살 (300g) (35,700원); 살치살 (300g) (29,700원); 우대갈비 (300g) (26,700원); 갈비살 (300g) (1,100원); 명품등심 (200g) (15,800원); 양념 소갈비살 (300g) (26,700원); 삼겹살 (300g) (15,000원); 목살 (300g) (15,000원); 대패삼겹살 (300g) (15,000원); 항정살 (300g) (18,000원); 껍데기 (300g) (12,000원)"
개화,자연풍천민물장어,서울 강서구 양천로18길 9 1층,https://place.map.kakao.com/296296252,"풍천민물장어 (변동가격); 장어정식(2인이상) (23,000원); 장얻덮밥(2인이상) (10,000원); 장어탕 (9,000원); 김치찌개(2인이상) (9,000원)"
